"","c1","c3","c4","c5","c6","c7","c8","c9","c10","c11"
"1","Bra001579","Bra000207","Bra000483","Bra000003","Bra000028","Bra000031","Bra000073","Bra000130","Bra000159","Bra000587"
"2","Bra001738","Bra000310","Bra000952,Bra000953","Bra000024","Bra000036","Bra000065","Bra000079,Bra000080","Bra001662","Bra000242","Bra000885"
"3","Bra001925","Bra000600","Bra001415","Bra000157","Bra000285","Bra000144","Bra000089,Bra000090","Bra002354","Bra000338","Bra001009"
"4","Bra003457","Bra001207","Bra001587","Bra000263","Bra000302,Bra000303","Bra000240","Bra000111","Bra002630","Bra000440","Bra001037"
"5","Bra003864","Bra001958,Bra001959","Bra001618","Bra000536","Bra000391","Bra000293","Bra000384","Bra002839,Bra002840","Bra000616,Bra000617","Bra002081"
"6","Bra003942","Bra002023","Bra002191","Bra000654","Bra000472","Bra000294","Bra000394","Bra004066","Bra000623","Bra002216,Bra002217"
"7","Bra004749","Bra002255","Bra002273","Bra000663","Bra000657","Bra000321","Bra000408","Bra004267","Bra000659","Bra002975"
"8","Bra011485","Bra002645,tRNA-Ser","Bra003053","Bra000760","Bra000662","Bra000382","Bra000412","Bra005168","Bra000711","Bra003152"
"9","Bra012127","Bra002914","Bra003147","Bra000806","Bra000867","Bra000460","Bra000461","Bra006048","Bra000821","Bra003355"
"10","Bra013046","Bra003209","Bra003486,Bra003487","Bra000848","Bra001151","Bra000534","Bra000614","Bra007776,Bra007777","Bra000853","Bra003527"
"11","Bra013870","Bra003273","Bra003841","Bra000849","Bra001177","Bra000538","Bra000699","Bra007840","Bra000989","Bra004604"
"12","Bra013909,Bra013911","Bra004109","Bra004244","Bra001052","Bra001200,Bra001201","Bra000567","Bra000757","Bra008903,Bra008904","Bra001020","Bra004834,Bra004835,Bra004836"
"13","Bra014283","Bra004537","Bra004460","Bra001090","Bra001291","Bra000739","Bra000769","Bra009330,Bra009331","Bra001104","Bra005974"
"14","Bra014600","Bra004771","Bra004639","Bra001094","Bra001373","Bra000741","Bra000777","Bra009649","Bra001116","Bra006291"
"15","Bra015665","Bra005521","Bra005064","Bra001114","Bra001489","Bra000863","Bra000785","Bra010283","Bra001127","Bra007020"
"16","Bra016720","Bra005546","Bra005134","Bra001213","Bra001535","Bra000875,Bra000876","Bra000787","Bra011500","Bra001154","Bra009087"
"17","Bra018340","Bra005598","Bra005141","Bra001297","Bra001550","Bra000878","Bra000884","Bra011538","Bra001156","Bra009184"
"18","Bra018469","Bra005727","Bra006052","Bra001368","Bra001591,Bra001592","Bra000901","Bra000955","Bra012364","Bra001306","Bra009609,Bra009610"
"19","Bra019121","Bra006224","Bra006182","Bra001401","Bra001848","Bra000942","Bra001003","Bra012417","Bra001406","Bra010459"
"20","Bra019613,Bra019614,Bra019615","Bra006523","Bra006413","Bra001761","Bra002080","Bra000961","Bra001121","Bra012710","Bra001450","Bra010983"
"21","Bra019718","Bra006633","Bra006536","Bra001788","Bra002113","Bra001034","Bra001289","Bra013853","Bra001715","Bra011923"
"22","Bra021123","Bra006700","Bra006795,Bra006796,Bra006797,U2","Bra001970","Bra002237","Bra001186","Bra001346","Bra014291","Bra001911","Bra012230"
"23","Bra021599","Bra007143,Bra007146","Bra007131","Bra002038","Bra002326","Bra001317","Bra001348,Bra001349","Bra014689","Bra001934","Bra013450"
"24","Bra022816","Bra007329,Bra007330,Bra007331","Bra008070","Bra002156","Bra002373","Bra001358,Bra001359,tRNA-Tyr","Bra001372","Bra016252,Bra016253","Bra002045","Bra013563"
"25","Bra023573","Bra007768,Bra007769","Bra008766","Bra002227","Bra002523","Bra001447","Bra001950","Bra016356","Bra002101","Bra014730"
"26","Bra023619","Bra007924","Bra008975","Bra002261","Bra002655,Bra002656","Bra001451","Bra002086","Bra016471","Bra002106","Bra015456"
"27","Bra025363","Bra008699","Bra010977","Bra002322","Bra002697","Bra001461","Bra002382","Bra016557","Bra002258","Bra016868,Bra016869"
"28","Bra025662,Bra025663","Bra009101","Bra011047","Bra002485","Bra002703","Bra001501","Bra002385,Bra002386","Bra017019","Bra002290,Bra002291","Bra016974"
"29","Bra028132","Bra009410","Bra012040","Bra002665","Bra002804","Bra001539","Bra002456","Bra018039","Bra002422","Bra017077"
"30","Bra028906","Bra009434","Bra012054","Bra002799,tRNA-Ser","Bra002900","Bra001626","Bra002584","Bra018828","Bra002424,Bra002425","Bra018112"
