"","M6","M10","Freq"
"1","-1","-1",0.423937360178971
"2","0","-1",0.383668903803132
"3","1","-1",0.192393736017897
"4","-1","0",0.313199105145414
"5","0","0",0.222595078299776
"6","1","0",0.46420581655481
"7","-1","1",0.282997762863535
"8","0","1",0.393736017897092
"9","1","1",0.323266219239374
