"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"25","(10,14.7]","(0.274,0.406]","(40.1,59.2]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"26","(10,14.7]","(0.406,0.538]","(59.2,78.3]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","0","-1","-1","0","-1","-1","-1","-1","-1","-1"
"27","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","-1","0","0","-1","-1","0","-1","0","0"
"28","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","-1","0","0","-1","-1","0","-1","0","0"
"29","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","-1","0","0","-1","-1","0","-1","0","0"
"30","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","(29.6,38.4]","[0.337,0.706)","1","0","0","1","-1","-1","0","-1","0","0"
"31","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","0","1","-1","0","0","-1","0","1"
"32","(10,14.7]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","0","1","0","0","1","-1","0","1"
"33","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","1","1","0","0","1","0","1","1"
"34","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","1","0","1","1","0","0","1","0","1","1"
"35","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","1","1","0","0","1","0","1","1"
