"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra020970",0.426858,0.278292,2.45133,1.35002,0.427387,0.22414,0.145555,0.184301,0.158884,0.0819655,0.0418791,0.190657,0.380181,0.33109,2.64371,1.68466,1.45027,0.680285,0.472808,0.239265,0.254243,0.114593,0.148003,0.21351,0.967161,0.436366,2.93504,1.45144,0.512429,0.702353,0.213979,0.570837,0.119563,0,0.15787,0,0.538171,0.0503798,2.05611,1.57927,0.701746,0.513483,0.320107,0.332827,0.0775198,0.245913,0.0395516,0
"Bra020975",7.41411,7.52276,13.6282,14.5473,10.223,8.98888,6.59827,7.96229,22.9684,23.9087,21.6467,19.1078,5.01087,6.61191,9.0262,7.13871,8.74792,7.61346,3.10722,5.16506,20.3968,18.8509,18.9338,20.9639,7.19406,9.31494,13.1888,11.9803,10.4556,9.00893,7.20258,6.80473,21.316,19.3354,25.2745,19.6942,9.97275,8.31652,9.00897,8.97892,10.2035,9.51592,5.19809,6.55596,23.8565,23.064,16.095,17.0317
"Bra020977",75.08,61.876,83.5754,65.3901,108.891,111.801,100.715,86.5587,90.4215,73.9267,71.0076,63.7287,56.0898,54.7624,62.4895,50.9085,85.7893,79.5667,76.0863,64.7192,84.1543,78.2457,78.5452,64.0307,113.526,63.3193,74.551,85.7537,96.8481,92.7064,95.5487,85.6951,90.7415,92.1503,84.9713,79.6634,65.3831,63.4112,83.3874,62.1249,98.49,97.1911,85.0044,74.0906,81.4235,78.5243,83.7057,59.3673
"Bra020980",24.4224,23.8983,24.4193,24.029,27.2116,27.5222,25.224,24.2412,24.7093,24.9944,25.3448,25.1137,26.8074,24.178,28.2373,30.6431,28.6965,24.106,26.404,23.4274,31.2929,29.3473,19.9907,21.9633,28.4856,25.9301,30.4639,29.3797,23.3486,25.1108,29.1046,25.415,31.3196,26.8601,26.1053,22.3229,23.1881,22.9924,28.7725,26.82,23.1249,25.4135,26.8588,23.0797,30.5793,31.853,24.0959,23.5482
"Bra020984",3.80766,3.84821,4.28051,4.48639,3.44157,5.58922,3.68159,4.60996,4.71035,3.47405,2.15895,1.46788,3.32179,2.66026,3.9358,2.87398,4.65159,3.54844,3.94391,2.92005,3.8161,5.50992,2.08041,4.03809,3.02138,4.14462,3.53239,3.54876,5.74693,6.13099,4.324,2.80545,3.09045,1.98858,3.40487,3.62704,3.36199,3.5696,3.11487,2.35138,6.08301,3.45176,2.48137,1.16796,3.29335,3.20637,2.35118,2.91028
"Bra020988",0.730547,0.270943,0.434551,0.163364,0.26739,0.0983664,0.473756,0.220349,0.299255,0.155856,0.322255,0.0938252,0.572251,0.541291,0.264031,0,0.590684,0.615703,1.63433,2.4358,0.135539,0.225902,0.188915,0.425883,0.461511,0.0970284,0.0881675,0,0.752629,0.235668,0.278943,0.223642,0.226759,0.266866,0.219371,0.723997,0.31454,0.354424,0.253113,0.0864992,0.389041,0.426173,0.587279,0.808466,0.414304,0.493327,0.368453,0.197632
"Bra020998",1.10076,0.989207,0.426089,0.0775404,1.29493,0.186496,1.55494,1.70941,0.827043,1.13941,2.59855,2.62199,0.967862,1.1312,0.685996,0.560998,0.993127,1.16167,1.25534,1.77014,0.386059,0.788865,2.02541,2.21285,0,0.687319,0.194608,0.299926,0.568593,0.414621,1.73568,1.5459,0.602527,0.287067,1.0983,0.694978,0.908281,1.41566,0.0830005,0.459349,1.69545,1.2604,0.475275,1.81658,0.776089,0.158264,0.840145,0.921457
"Bra020999",3.59167,4.56297,0.760905,0.838256,0.852969,0.305726,1.28917,0.868421,1.1974,0.657527,4.71736,3.72583,9.31854,5.65217,1.3756,0.897393,1.21382,1.62056,1.78105,1.41289,0.869829,0.366048,4.19534,3.13936,2.52427,1.72778,1.14877,0.816172,0.254364,0.899439,1.31546,0.346051,0.47688,0.236585,2.55676,3.67568,4.53628,3.53257,2.14836,0.863251,0.881468,1.01877,1.66301,1.076,1.38869,0.586127,3.95132,1.79352
"Bra021016,Bra021017",36.9463,22.3363,65.1658,60.0814,139.698,132.59,107.14,83.5011,132.189,104.162,68.2261,48.3416,25.8958,23.6685,77.5564,42.4042,104.868,70.0806,71.9192,44.0011,115.895,95.1217,50.7302,42.9198,71.462,31.4762,62.7478,72.0247,103.58,93.0738,95.8063,89.2498,122.701,128.214,79.4451,89.3752,37.9664,29.494,77.7586,73.7875,134.019,92.9164,80.8528,72.7242,154.398,129.184,78.6237,44.6761
"Bra021024,Bra021025",23.5206,31.2177,10.9424,13.2539,8.82777,13.3353,9.73556,12.0896,7.1237,11.1988,13.6837,12.9144,18.5072,25.6599,11.125,18.2564,7.93206,13.6008,15.1636,14.3775,9.55518,10.1024,12.4039,18.4262,21.7411,25.9622,11.506,16.0708,9.20257,12.2807,9.05756,11.2634,10.5065,9.60498,16.2388,22.7902,21.167,31.1535,16.3494,21.3137,9.27606,9.21977,10.9472,10.1063,9.74188,13.0246,16.1404,20.1531
