"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra022736",49.1922,46.5154,31.6613,41.0366,34.0925,42.4935,28.6734,29.9177,34.1169,40.4337,26.6221,30.5317,52.8406,48.2194,54.856,53.2681,46.9368,49.314,38.5787,36.1199,44.1273,32.7417,36.7786,30.6134,47.9184,22.5321,33.5322,32.6132,23.634,30.6596,23.8471,27.6976,30.2502,38.9794,28.9089,37.8538,38.4846,53.9151,35.259,43.1817,40.3485,26.8657,28.494,26.6664,36.2453,33.2523,29.0545,15.4159
"Bra022743",5.22268,7.86401,5.41158,6.01725,6.48917,5.32174,3.30999,4.07497,2.63213,4.54694,5.52545,5.09925,7.57597,7.7155,4.34131,6.48386,2.88455,3.98427,3.14831,4.14004,2.57045,3.68597,2.8123,3.22855,6.23624,7.83651,3.51979,5.68046,6.54713,4.69225,4.29033,4.86187,6.28624,5.1738,3.38022,5.48269,7.23981,7.99564,5.50686,7.25998,3.78295,7.27326,4.45431,6.78643,2.92683,4.35748,4.8626,4.997
"Bra022751,Bra022752",327.209,322.03,380.678,382.282,352.844,348.438,379.913,369.058,337.694,324.689,328.266,314.061,280.131,290.329,338.916,360.116,354.441,382.818,407.857,403.655,327.986,331.475,334.432,319.688,418.97,392.881,400.397,399.911,367.439,338.1,390.156,403.762,372.787,328.087,345.629,338.885,324.218,331.025,390.23,372.57,383.518,365.581,357.217,375.36,368.146,353.505,375.431,366.519
"Bra022813",41.6675,30.6102,34.7151,27.5401,3.1161,11.6621,8.38781,7.25288,10.5416,7.37782,2.06166,3.22743,14.9081,12.2336,4.2497,9.83774,1.66539,4.48615,4.6668,1.75677,12.1464,7.65031,19.6952,11.7051,23.2599,69.0417,13.1272,75.9206,27.8175,9.0985,46.3822,28.4678,31.9496,15.5177,15.0533,19.4464,66.0037,39.5134,28.5325,59.6068,7.63474,7.71202,45.0792,13.3659,50.8788,41.2346,42.7264,19.1998
"Bra022836",15.002,18.1445,11.3912,15.2426,11.1579,7.86604,9.34276,12.1291,13.0822,17.1457,17.5412,15.7821,21.0836,22.2649,14.3673,14.4368,12.0959,8.92736,9.23129,10.7797,13.7886,11.5825,14.0328,10.8951,25.6189,15.2192,15.6696,14.5801,11.1939,10.2995,12.0035,15.0385,14.7415,22.2235,15.553,17.831,21.8137,19.7413,16.9107,17.2141,11.3128,13.2977,16.713,14.4035,18.2964,14.6194,13.2378,16.0293
"Bra022857",4.58215,3.0968,3.16491,3.65186,3.01087,2.5678,2.65613,2.06244,2.65474,4.82019,4.05288,2.77327,4.19264,4.40856,3.589,4.47895,4.21246,2.63033,2.81913,2.71535,3.0684,3.24896,3.02293,2.20344,4.63295,3.84547,3.48682,4.23314,2.71804,2.72114,2.82968,3.14146,3.16926,2.68146,2.40532,2.33643,3.44739,3.77975,2.27188,2.82634,2.80463,2.39818,2.15875,3.19842,3.20062,2.245,2.69043,3.01294
"Bra022867",44.969,49.3482,40.2884,39.9926,45.3348,41.2476,46.4742,42.7275,51.9265,55.2664,56.2581,65.42,45.729,50.5618,33.5608,36.9157,34.9437,37.8287,33.8101,34.8637,43.2123,47.1966,52.2228,56.8087,39.5276,54.4071,39.5828,42.8023,41.4598,43.4832,45.1308,44.0297,56.028,54.5847,55.6471,54.7355,43.4943,52.5868,38.3144,40.2006,42.2439,43.2018,47.8847,42.8515,48.0965,54.9237,61.6804,52.7825
"Bra022901",9.37019,9.12641,7.06433,6.64659,4.51728,4.54283,3.50328,4.90793,3.80229,3.45848,4.94828,4.96518,7.85568,9.61733,7.30048,9.12966,6.78461,7.95751,7.98222,5.69358,5.15729,4.69646,5.19292,4.03352,5.76602,6.72659,7.73433,6.47894,5.35199,5.73754,6.19287,5.23478,4.71861,4.84054,5.54602,4.42284,8.69606,8.83089,6.59546,5.86968,7.17292,5.5583,4.89812,4.6704,2.53573,3.85684,4.67257,3.6899
"Bra022908",78.4594,94.441,81.5752,92.7925,88.0549,127.783,88.9547,109.401,85.4465,124.912,67.8381,93.4287,70.0762,85.3621,77.4673,103.812,86.1453,107.075,85.8964,101.642,103.135,123.355,88.0016,108.96,96.7265,117.017,97.5218,127.384,105.831,125.315,107.101,131.123,111.847,137.411,90.2913,119.697,78.5698,100.031,93.0906,116.324,99.5217,109.884,102.773,120.293,102.294,143.367,106.39,124.716
"Bra022923",36.4022,25.2624,29.8402,29.3609,32.8337,17.0563,14.0598,14.9138,29.5033,31.4395,24.8749,21.46,39.8376,33.0825,28.9093,23.5538,34.2563,32.6172,22.0795,14.4122,42.5406,32.7281,35.1803,31.2586,20.1695,17.4184,20.9363,19.7779,19.0542,13.3475,9.50909,6.35023,23.7529,20.8497,26.7289,23.6921,35.0319,22.1194,27.4687,17.7357,35.597,21.9152,15.4382,7.8176,31.3952,23.844,26.3924,12.3844
