"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra000003",10.9526,13.9582,17.1383,17.5966,23.3082,22.4463,18.9452,23.0563,17.2306,19.1326,13.8531,17.4812,13.0289,12.393,14.7811,16.5689,19.5996,20.9785,16.8754,17.2016,17.227,16.6449,13.5746,15.8278,11.1843,13.2961,14.6685,17.2716,19.0604,21.999,18.7504,18.4515,13.7716,13.8524,14.1085,14.0999,10.2204,9.52404,16.4201,19.3672,19.0299,20.3907,16.2393,18.7348,14.4184,12.6118,10.9848,9.77179
"Bra000294",11.6065,9.81661,11.2002,10.4304,8.25267,7.8008,12.6045,9.96583,11.1602,9.92272,10.1962,9.30277,8.89792,9.07744,8.70289,9.23535,7.46817,9.10464,11.9942,10.2358,12.2267,10.2096,13.4893,12.8332,12.4365,10.2214,10.2795,12.2307,9.3037,9.94596,11.7839,10.2678,11.4372,14.4803,12.0795,12.6262,10.7603,12.8337,11.0382,10.2044,10.4611,10.7755,10.778,10.8453,11.9505,11.6632,12.1945,13.5586
"Bra000460",158.565,146.258,103.463,107.085,93.9134,99.2917,94.262,105.703,120.897,113.664,111.581,109.277,181.259,159.231,135.706,159.451,111.602,119.434,134.994,108.351,131.733,109.517,110.465,99.9852,144.148,110.904,114.084,114.171,85.1351,93.5213,96.4996,85.2667,90.708,101.497,113.922,98.8834,149.367,132.656,150.091,136.218,98.6036,92.7543,113.443,84.6451,125.899,103.463,115.867,77.064
"Bra000472",88.5844,74.9914,62.1016,66.2699,72.3594,65.8853,63.1092,64.0977,87.9922,84.7952,82.7085,86.2473,78.5807,89.8168,60.8812,65.0534,80.151,71.9473,88.6632,71.9716,81.537,70.8874,83.7002,84.4454,74.6383,82.5591,58.6818,59.9675,59.1218,67.1892,56.3414,65.7589,56.6393,71.7569,78.4565,92.7783,76.6125,85.5122,70.9131,63.5581,61.1011,53.2199,58.6104,51.6028,70.3106,66.2597,72.6946,50.6519
"Bra000483",21.7001,26.3208,9.96491,9.76039,14.1715,16.7082,13.2227,23.1901,17.0954,22.5546,15.0344,17.3004,17.5171,23.4257,16.2933,18.0721,11.0752,12.0137,19.0736,8.81802,19.9709,18.053,16.441,12.1341,23.7451,23.382,22.624,25.4505,20.2577,43.302,25.4594,36.1098,31.1676,40.0746,18.0616,13.3483,19.0366,26.5103,18.1426,22.3588,17.665,15.91,16.6439,13.9051,25.4132,38.8946,12.6124,15.7553
"Bra000863",71.9803,65.6685,62.5418,71.8709,72.4425,76.6335,68.1391,68.0873,71.308,71.4183,74.7476,70.2952,62.7956,65.5024,58.5087,56.0689,55.8015,56.4808,43.6089,49.7339,79.1447,82.3832,74.2701,76.195,108.608,74.3075,56.2244,70.7372,77.3769,77.5149,74.4542,83.7813,92.7602,88.6891,82.7851,95.1036,74.8887,78.0917,81.9596,84.4136,70.7087,73.283,61.9472,71.2216,81.8941,87.6032,96.2777,87.9666
"Bra000875,Bra000876",35.0213,40.9977,20.2793,23.3378,40.1143,35.3442,44.6411,21.869,41.897,42.3564,139.362,184.614,134.526,127.665,54.5266,76.2692,37.156,43.3692,37.5909,45.7533,19.3881,18.4797,77.1277,90.8901,69.4617,76.9459,28.7601,26.2505,23.7518,38.7345,68.1169,44.9902,60.0611,36.2529,50.679,113.922,67.2345,149.083,74.5215,87.2747,55.7665,69.026,155.517,62.8501,81.5966,84.3258,78.0396,63.0847
"Bra000952,Bra000953",89.7796,97.7669,75.8072,70.2622,71.5498,105.747,79.0284,92.1404,106.228,121.176,98.2877,111.267,69.7073,81.2855,54.3193,52.0044,57.2995,59.7942,55.1796,62.2893,94.8862,104.812,87.5497,95.8096,143.045,124.918,86.2345,107.777,90.7355,108.18,86.7832,125.515,108.947,141.368,112.549,128.685,96.5769,114.437,72.9824,89.7004,65.6547,83.6152,65.3868,77.1203,92.3416,115.74,105.095,130.031
"Bra001151",9.68071,7.27419,9.08768,9.29286,10.43,8.87501,13.0008,14.4876,12.8002,11.0246,9.47261,8.28631,8.22453,9.25814,8.59681,11.5356,8.85956,10.4527,10.8154,9.67354,12.6405,11.5016,11.7649,10.6914,13.2046,10.832,9.93733,8.96286,13.3565,11.48,13.0257,12.9436,11.6525,14.0659,11.7235,13.1567,8.47837,7.71168,10.851,8.85839,8.76552,10.5786,11.8792,12.1525,13.8655,15.0286,13.0373,13.266
"Bra001368",133.807,123.915,137.615,118.057,92.6229,68.7433,104.077,86.1213,85.4549,74.3874,83.8492,78.1677,129.407,111.721,148.316,141.965,118.517,109.932,160.301,123.614,114.71,88.4944,118.659,112.672,116.555,112.055,136.608,106.95,79.9863,73.5134,86.3261,75.9743,82.852,72.1959,80.2369,67.5444,103.136,97.6596,118.32,105.588,113.724,90.9605,112.111,103.863,86.1686,74.7484,96.0457,85.1918
"Bra001372",24.4429,26.8711,16.236,17.1092,15.6628,16.4074,15.0087,17.404,14.4141,18.7489,14.425,15.8632,23.9415,28.261,22.5114,22.6972,17.371,17.4887,16.3394,15.6566,14.9079,15.5643,13.4444,15.0165,19.7964,23.111,16.5336,17.8911,14.6308,16.9972,13.9257,13.6666,14.7363,13.8347,12.755,12.1207,18.6902,21.0104,16.0745,20.9597,13.4226,13.7125,14.5258,16.2455,14.5328,13.1823,13.0213,13.1549
"Bra001848",11.6584,11.3805,6.58914,10.0256,13.4896,10.6576,13.0017,11.4574,12.6404,14.5292,13.2958,16.4912,13.8068,13.1778,9.7388,10.9838,11.0408,15.2664,13.5223,12.7148,13.2957,16.807,11.6156,10.7172,12.0416,12.2307,9.31262,8.33744,13.3363,13.514,14.1185,15.1186,14.0891,19.795,13.4257,11.6498,13.2743,14.1441,9.79686,9.30903,14.9792,13.3883,16.1748,15.9651,18.1643,18.3169,17.4797,14.747
"Bra001970",15.4332,16.4436,24.2629,19.2403,20.4537,16.916,19.0934,21.4794,17.0911,16.1869,14.9533,13.6712,13.5265,16.1055,21.3207,19.7731,21.4927,16.0352,19.8319,18.8949,18.1524,18.5957,13.8317,13.9334,13.8462,19.563,27.9592,25.6692,23.9934,23.978,25.2713,22.174,23.4347,19.1326,17.6256,14.7288,17.413,18.7636,18.6297,19.3085,20.6754,21.9888,21.3828,24.6413,18.3394,20.4439,17.2723,20.6011
"Bra002191",16.0376,15.9164,9.51064,7.68464,10.8834,11.8936,22.8373,22.3266,14.0548,12.72,8.62579,6.82062,15.3354,16.6458,8.7091,8.91876,10.7728,11.1412,14.928,13.3674,12.8582,12.8868,7.31739,8.13451,26.249,20.2733,14.0062,13.3012,13.5163,11.2592,20.4743,23.6487,23.1655,16.4262,14.5896,9.91217,17.9475,17.3016,9.19274,9.03639,13.9426,10.9011,18.5615,17.6607,17.4084,18.965,10.0503,21.7779
"Bra002221",457.198,413.397,430.251,418.602,298.275,306.806,271.582,280.106,303.021,270.853,337.288,329.02,361.052,400.12,336.624,357.648,280.506,280.54,257.407,245.559,299.102,292.061,364.587,338.214,523.777,492.306,449.827,470.962,374.317,371.894,325.729,365.175,356.237,383.449,384.901,436.831,463.183,518.682,419.125,498.711,353.376,390.462,282.428,313.094,330.613,388.057,417.129,410.185
"Bra002227",10.4363,7.70783,14.0664,10.3024,10.5561,11.3067,10.1353,9.5305,8.70911,9.9724,8.35738,8.22598,10.6947,8.22337,14.1687,12.6313,11.249,11.9506,10.7617,10.1961,8.48758,7.03125,6.43691,6.64472,14.1492,10.2293,12.6005,12.8888,11.5043,12.9858,11.0028,12.3797,12.0871,9.24574,8.29653,9.52255,9.57688,9.12669,12.9189,12.3676,12.0325,12.3479,11.3285,11.0502,9.69905,10.4515,9.47324,11.0374
"Bra002265,Bra002266",14.0169,10.9724,11.1266,12.223,14.5298,12.0537,14.689,13.0241,15.112,13.34,13.9134,19.4154,17.6853,16.4844,6.28924,7.23865,15.8199,17.0979,12.4187,13.0989,15.858,13.3957,16.7944,17.7391,9.41296,6.80673,10.206,7.07623,9.76212,10.6577,13.579,12.1353,11.0012,15.9454,11.7938,9.01233,14.6276,13.553,10.5639,10.0619,11.5509,12.3293,12.9548,7.99204,11.8221,10.8685,13.598,12.7334
"Bra002322",118.391,123.589,53.6494,64.1899,99.4133,125.308,126.797,133.031,65.5018,74.716,52.6364,61.3308,132.165,124.47,101.643,129.284,158.573,200.104,235.362,235.433,127.292,131.706,104.054,104.826,87.7614,89.6762,69.0031,49.5012,115.739,91.0597,119.75,113.165,58.7555,70.6898,63.9582,71.1483,114.964,110.15,61.912,74.8958,137.309,119.167,155.781,129.691,103.292,85.3833,81.0726,53.5729
"Bra002326",171.871,155.337,223.686,195.218,214.651,227.388,257.78,235.488,294.041,279.926,227.807,221.065,112.316,120.206,145.728,122.007,176.362,150.351,153.934,165.355,270.802,282.166,257.439,230.224,252.096,257.974,303.809,322.703,298.804,262.296,297.753,396.451,340.962,369.4,272.744,267.699,183.692,202.72,180.694,176.866,193.819,219.799,205.119,214.244,257.979,280.213,268.894,355.247
"Bra002697",7.7733,3.83137,5.97852,5.78475,16.4523,14.6642,13.5703,9.31236,12.9393,7.45821,20.349,18.3776,11.4984,9.40931,7.81212,9.01138,13.3899,15.3605,11.2946,8.00003,15.3488,11.3999,18.6757,16.098,5.84063,6.31583,4.95082,6.82062,9.99415,10.0609,10.5468,6.26476,8.00975,10.2029,12.4204,15.5956,9.55057,6.75724,9.399,7.78907,12.8506,11.3179,12.8154,6.9857,12.0706,8.01851,13.0843,5.3118
"Bra002900",46.0134,38.6076,55.809,48.299,64.9462,60.0329,60.064,57.633,68.8342,71.584,60.9301,44.9358,37.7283,42.384,46.9841,34.4743,62.2515,54.5383,50.5411,58.7621,67.053,73.0904,60.8495,53.0817,58.5711,60.3496,57.6634,62.5631,75.8809,81.2608,80.5766,76.2484,69.9079,87.3574,63.5329,67.8284,45.9003,38.8966,55.6717,52.0994,78.636,63.2519,68.9,68.2029,75.7965,78.2945,57.2687,81.6386
"Bra002973,Bra002974",247.338,225.294,243.364,240.838,221.583,276.902,247.402,252.04,274.172,278.175,232.774,260.632,168.521,200.381,150.406,143.264,153.867,153.591,123.124,145.907,212.143,252.71,232.677,225.693,292.656,284.565,280.88,323.422,269.946,285.227,256.915,317.744,289.186,363.443,280.387,298.455,247.927,270.413,215.557,247.88,206.015,231.909,180.484,185.4,239.53,288.825,284.207,319.024
"Bra003034",19.1328,23.226,18.0049,19.5214,16.6848,20.4004,16.0836,17.5259,15.9878,18.2832,15.9175,16.4686,20.7074,19.113,21.6114,20.6801,18.1358,16.9032,16.5755,16.4093,15.5376,18.2581,15.1267,13.6235,25.5468,22.7603,18.1874,19.174,17.7915,16.965,15.9535,14.4651,14.8532,12.9121,11.0498,15.8853,20.726,17.5407,15.7553,15.1225,15.428,18.5144,16.1744,19.2836,14.4303,11.876,12.6328,16.0472
"Bra003055",9.04696,10.2219,49.6012,53.6109,19.804,23.5312,12.6148,15.3682,16.72,12.6904,9.64713,9.73014,6.42267,5.23806,24.1294,34.7648,18.6343,23.2317,12.3995,12.361,12.2324,11.444,9.15329,10.8462,8.82229,16.3341,39.6188,85.1352,62.0719,15.7901,42.6156,30.6072,36.7638,10.8517,14.2371,14.2962,9.59528,6.63564,50.9304,64.8401,23.8877,25.3263,32.1879,17.8554,35.659,40.1666,26.5747,10.4509
"Bra003147",57.0029,62.1376,51.7515,56.5348,57.3937,67.4989,58.7723,56.7133,63.5835,64.3472,62.2856,57.9852,47.4587,60.4108,44.2577,41.894,49.2258,53.7023,42.3045,43.806,60.5703,63.8127,52.4334,53.8779,84.8732,72.8803,59.2142,77.2034,67.7696,71.3687,64.4849,70.3108,61.9878,76.1505,64.7329,61.8996,53.3157,56.8295,57.3543,58.6095,58.8397,55.0453,48.3056,47.5034,56.2273,64.7671,66.1355,61.4859
"Bra003159",11.4598,9.42991,17.025,14.3675,16.3621,15.7227,22.895,18.8952,15.2548,15.3495,13.4912,8.01499,6.45585,5.75863,10.3092,11.3264,17.3067,10.111,16.7574,16.2138,21.8461,18.8519,16.6558,16.8653,17.9711,14.6044,23.7636,21.341,23.7799,15.5402,27.5761,24.8073,22.5497,16.7828,15.4904,13.2736,10.4966,11.8212,11.4894,9.77171,18.1292,17.0869,20.8342,17.9331,20.6004,22.5163,19.3706,22.8403
"Bra003427,Bra003428",31.0258,28.735,40.1253,35.5769,44.0725,42.4723,38.5107,36.1784,32.5283,31.142,26.1716,23.9363,31.4342,28.5097,39.7384,34.7328,45.5731,38.5454,34.5247,35.3379,44.8453,38.4047,28.817,29.318,44.8335,36.4388,48.736,45.9187,52.3115,47.941,47.9743,42.9613,44.2204,41.4986,31.6768,33.4695,32.4873,33.9251,39.9483,42.8737,44.5642,43.0017,46.9049,38.5573,45.7819,42.9677,36.0391,37.0374
"Bra003434",90.6479,85.2912,78.3564,86.2718,62.9188,69.3082,62.2116,72.3181,78.9736,79.7744,69.4615,70.2594,88.2869,86.2252,82.153,81.4412,75.5388,77.5102,69.9383,74.9785,78.6405,81.5078,65.2375,63.9577,107.342,83.9036,77.7232,86.0102,67.002,74.3524,66.2123,70.6589,74.9361,82.9717,74.0931,80.2012,78.8883,85.714,88.7936,86.0911,71.6444,74.1998,64.008,63.1462,78.0329,80.0702,62.6851,56.2133
"Bra003617",26.4214,25.1652,15.6718,19.3718,23.1408,28.7603,23.9067,22.4842,25.0034,23.6006,20.8541,23.6935,17.983,20.5935,23.9148,20.6081,21.3532,23.4107,35.5824,34.5889,34.3851,33.3973,25.3296,29.5919,16.6156,22.0442,14.7028,20.5412,14.7031,22.2547,21.7518,22.905,16.4304,18.0471,20.5631,25.8499,22.993,23.136,21.8193,22.6614,23.3086,21.1436,24.7305,21.3405,21.6103,23.4682,20.155,22.368
"Bra003776",532.244,441.771,446.448,384.74,412.701,404.146,415.94,358.756,515.914,491.69,504.296,434.892,389.203,392.254,311.376,253.858,330.872,268.383,283.383,251.165,438.517,406.806,499.133,413.64,563.064,559.287,456.818,510.809,460.823,441.442,450.372,511.495,527.696,584.357,584.918,508.868,531.356,498.207,438.495,430.303,378.965,432.005,374.275,435.831,455.043,473.103,516.299,575.411
"Bra003841",31.042,29.3088,33.4443,31.0541,29.4123,38.5786,34.6766,30.0039,27.3227,33.3235,21.2343,17.4416,28.7012,25.8655,24.9784,23.6135,23.3899,19.0056,19.218,20.5901,31.3083,34.3605,27.7478,28.3616,51.3368,32.541,34.87,39.5674,35.8788,35.3635,32.5111,40.6741,37.3712,43.1137,29.7555,30.0722,35.4641,30.8149,31.3007,27.8603,31.9488,33.207,24.268,22.0299,30.3773,36.0787,34.1772,42.2452
"Bra004066",561.383,570.644,386.122,534.897,447.1,546.744,336.287,385.722,446.099,657.447,314.648,429.776,536.562,625.19,536.172,579.093,615.137,695.117,498.005,458.555,600.197,572.595,569.746,486.857,464.702,400.638,361.726,507.99,347.137,433.031,318.769,351.547,399.673,595.543,424.863,631.192,557.108,658.268,485.973,621.256,533.987,499.114,418.006,362.595,535.712,513.006,539.611,316.432
"Bra004177,Bra004178",115.871,103.479,103.525,105.464,90.2165,110.028,103.813,102.44,111.51,111.233,89.1898,93.6076,89.608,88.9626,90.2373,96.6429,99.6823,95.5422,98.8392,101.5,115.839,117.566,103.432,96.531,147.067,121.364,122.629,126.087,117.279,113.814,112.3,127.503,116.659,130.141,105.366,103.432,100.4,110.484,106.665,111.168,102.374,100.132,93.1382,95.7354,117.866,124.824,114.404,130.001
"Bra004244",127.183,105.212,117.929,96.8608,95.4755,78.0297,94.4556,81.372,95.4558,78.0759,112.87,94.6103,104.428,94.3134,87.3751,65.9774,79.2713,63.9585,72.6724,57.9204,83.2179,81.4877,104.794,82.0025,153.507,115.509,114.516,112.032,102.7,88.6249,95.4426,104.903,109.427,107.686,120.2,114.067,132.398,120.801,110.962,107.831,94.0196,95.1638,83.9641,79.1723,93.5768,95.9408,120.379,102.662
"Bra004247,Bra004248",747.824,717.237,553.705,567.072,462.296,419.953,512.011,496.912,548.35,527.193,537.304,531.124,697.327,688.329,647.657,634.378,602.946,567.05,613.548,545.752,590.185,522.66,571.707,527.342,760.872,673.396,587.339,570.741,457.955,410.607,464.777,476.12,511.355,492.501,572.997,561.415,676.659,654.459,707.582,631.222,524.94,451.226,496.255,453.664,539.154,510.59,582.537,441.627
"Bra004267",230.93,209.422,187.783,255.531,234.068,222.642,160.703,178.05,251.883,313.456,186.049,219.574,266.765,252.824,244.347,262.372,319.058,321.294,249.959,221.257,310.846,268.052,282.795,235.919,138.494,159.923,141.821,200.018,148.013,190.631,131.288,159.313,186.154,276.516,197.099,257.065,220.322,252.54,197.169,237.758,250.97,239.059,171.323,147.891,241.544,222.951,213.764,149.619
"Bra004324",334.717,306.196,292.767,283.963,308.616,373.84,361.344,352.894,376.075,379.291,305.042,306.866,235.076,282.394,234.102,210.127,249.371,235.9,201.392,222.766,335.932,361.938,276.951,262.886,490.746,384.278,332.895,383.145,368.138,380.196,365.541,433.899,393.614,541.673,342.929,380.706,320.929,375.448,315.139,366.049,307.854,347.976,273.447,308.303,371.91,431.54,388.254,358.833
"Bra004528",212.508,228.958,232.285,224.485,197.468,261.03,202.122,221.64,228.087,193.568,161.495,187.385,203.507,239.342,236.455,249.503,269.91,252.823,234.809,211.249,254.495,199.217,250.554,243.394,218.789,134.282,181.268,173.048,167.415,152.546,177.847,184.994,147.895,214.102,171.558,127.554,166.879,146.561,196.92,186.5,184.024,159.187,195.915,168.675,185.166,166.962,217.443,135.82
"Bra004853",138.606,132.369,133.992,104.068,136.401,153.304,168.087,148.765,205.85,206.993,152.788,137.672,103.049,100.228,104.838,64.6279,118.535,101.438,117.529,106.338,189.637,172.94,165.703,157.595,242.034,161.425,153.817,183.233,164.766,178.731,197.059,197.436,225.511,267.937,218.069,209.993,163.167,159.91,134.112,116.617,145.805,142.782,134.726,131.027,170.34,191.722,176.18,181.062
"Bra005064",10.3998,7.78947,10.7873,9.01897,11.8689,14.5568,14.3819,11.4722,10.5653,8.77342,11.2484,10.1277,7.58184,7.58787,9.64814,7.10003,8.40129,7.21875,7.74136,7.38846,9.33108,10.071,9.3477,8.25321,17.5657,10.7242,11.5845,10.6178,13.9345,13.6809,13.6451,12.1599,12.0341,10.1145,10.5227,10.9013,9.81875,7.63926,10.8441,7.19783,9.77662,9.92686,9.89779,9.47559,11.9344,9.18279,10.8164,14.2284
"Bra005134",979.221,1043.62,884.036,823.955,912.381,1104.33,971.584,980.58,1076.12,1144.71,908.343,939.158,701.7,806.577,612.442,552.882,609.283,630.966,513.538,541.417,910.469,955.668,861.076,806.852,1716.82,1293.56,1135.21,1447.09,1086.83,1230.62,1013.11,1219.52,1166.17,1510.14,1150.46,1136.2,1069.04,1229.95,1114.35,1090.69,827.827,939.11,716.244,779.674,1036.13,1270.87,1094.13,1228.86
"Bra005175",79.7978,85.6993,118.412,100.063,120.965,117.036,125.416,117.874,110.089,109.777,83.8805,67.9241,54.757,63.2828,77.2104,63.3772,86.5602,83.5357,77.9656,82.9464,108.458,121.174,95.4321,89.3709,126.04,109.241,131.642,141.907,135.015,133.749,143.405,153.736,142.307,124.872,109.575,89.1186,79.858,74.988,94.1795,80.1498,110.948,110.614,97.2272,115.973,103.801,127.536,107.923,161.087
"Bra005603",47.9903,55.3585,55.7066,63.6392,46.2273,59.0434,43.8523,59.2459,32.8433,35.6831,33.6374,37.0572,48.2617,51.4238,59.3278,65.4532,46.5268,48.1829,46.6115,47.6635,46.6901,43.2555,30.7622,41.161,48.5488,65.3887,73.6189,86.4523,56.9443,75.607,47.3177,55.9715,38.1486,61.609,37.2273,51.9481,53.1186,64.7664,71.6733,92.3012,50.2819,58.0403,51.4707,58.391,43.2719,53.172,39.9971,42.1094
"Bra005792",116.687,132.618,115.722,112.835,102.555,138.315,110.228,104.387,154.195,146.108,74.685,97.4657,158.474,140.486,127.256,112.154,153.445,111.739,96.952,75.137,110.914,90.7686,84.3648,61.3476,142.553,86.3607,96.7623,94.865,86.1697,101.121,92.1277,95.4592,87.1858,126.982,96.7705,105.735,130.928,143.079,102.098,95.2271,132.959,99.9328,70.3639,52.1794,105.965,101.338,82.2433,40.1493
"Bra006029",80.9983,69.382,88.4985,76.1176,67.4105,71.409,82.9147,77.7464,79.6324,75.4421,73.0168,58.6682,57.0093,53.0686,60.672,53.2172,65.5401,57.9447,64.8993,64.5436,91.9727,79.0016,76.6605,74.7905,96.9857,84.597,86.7371,93.1328,87.6154,87.535,88.5711,89.4498,95.1879,102.292,85.0339,85.4574,68.9333,72.5367,75.8497,78.0946,74.4614,86.4413,75.5289,79.9,83.4319,95.4907,89.9406,91.3116
"Bra006052",128.85,147.051,110.274,115.248,114.026,136.404,110.177,120.672,121.364,136.022,111.09,135.15,93.2939,119.917,84.5224,87.6266,76.4554,82.8291,60.7683,75.5707,116.557,137.439,97.4472,124.748,162.49,153.242,127.645,159.094,118.054,160.808,113.629,146.08,126.868,168.36,127.924,145.832,112.342,148.181,113.183,129.483,93.0754,110.484,85.9104,112.063,115.716,149.221,137.771,173.128
"Bra006182",283.334,302.077,218.958,248,205.451,302.578,233.127,261.414,295.148,352.947,248.87,300.047,206.701,248.915,179.742,188.408,190.778,201.816,164.178,195.079,279.845,317.233,291.655,305.783,477.432,373.525,267.943,394.258,249.729,318.211,247.129,339.603,289.3,452.037,323.544,451.386,276.026,370.473,267.705,379.834,204.031,282.366,224.279,248.033,304.078,415.971,371.605,345.445
"Bra006200",109.575,112.906,106.282,101.999,115.446,150.353,118.505,118.068,116.626,134.155,90.2097,103.417,104.037,114.851,121.666,119.122,122.008,120.922,102.902,109.795,111.735,119.229,103.099,106.689,149.385,115.917,113.903,129.873,144.267,142.138,126.08,159.345,118.808,143.292,101.713,129.614,111.537,130.514,132.065,138.837,128.232,134.543,134.083,123.405,123.366,139.625,114.083,107.475
"Bra006351,Bra006352",48.792,51.1892,72.4949,67.47,64.2011,85.6058,50.9067,51.1788,43.0924,40.5367,35.6789,28.7289,30.7983,44.5623,50.0877,52.3668,42.8652,44.1551,25.5203,36.2585,36.8224,39.4834,35.842,33.7771,52.7471,63.6313,74.3964,94.8519,73.9641,89.4407,62.7758,73.8393,51.1085,61.0646,47.6768,42.4976,44.0777,52.8997,63.0056,68.6326,57.0178,75.7096,46.2807,59.239,40.0462,59.715,37.4932,65.8851
"Bra006413",79.9197,84.15,65.5955,69.1916,54.9363,84.9217,63.2472,64.9909,69.4179,70.251,68.0576,68.4846,64.0839,76.5239,52.1821,55.1274,55.6684,52.3691,42.6224,47.3677,72.8171,82.3519,63.0206,68.6529,99.7238,79.8305,74.1741,84.8756,65.9597,83.4175,69.2082,77.6335,72.7095,94.4144,79.8318,69.657,71.5919,84.0402,73.0477,82.7976,65.5115,76.0363,53.5385,54.3026,65.3281,82.4536,71.57,89.0213
"Bra006538",32.3706,29.1905,44.9084,44.8377,37.9457,44.9742,50.5067,44.4719,39.9061,37.185,36.177,28.7387,33.1517,34.0462,36.8822,40.5347,44.3166,46.7934,58.3066,53.4761,54.0322,51.6817,43.5726,45.0862,39.9752,41.1213,45.5677,57.0645,50.051,51.566,59.5915,66.5052,51.0603,59.3389,36.744,42.4341,34.9119,36.5931,37.4639,41.3747,49.2855,67.1394,67.1336,67.8213,51.4289,60.9628,45.7265,53.1193
"Bra006555",12.8347,13.188,11.2331,11.5775,12.1353,14.1087,11.8935,12.4892,13.1131,14.3379,13.6187,13.3829,18.3716,19.244,13.4729,12.8097,15.48,19.5885,17.248,15.7167,13.7999,11.7301,13.1256,13.2482,15.4256,11.47,8.5445,12.057,11.2333,13.94,12.7097,15.2959,10.4306,14.4292,11.6359,13.5649,12.9585,13.3339,12.015,11.6327,13.4322,12.7229,11.3604,11.9157,14.443,11.0671,12.6829,10.5672
"Bra006622",52.7567,47.9873,56.3241,47.6002,50.7334,37.7031,55.7275,48.973,55.9799,49.5218,58.339,44.543,37.1407,41.645,34.9207,34.6202,41.3797,33.2001,41.1052,32.1099,49.4122,44.512,55.898,43.6087,42.6404,54.6367,71.9962,68.9323,66.6874,54.1976,63.159,60.354,65.4275,56.6062,63.3526,53.6946,58.2493,58.6924,43.2087,39.0532,52.3355,60.7023,53.0714,51.5135,55.9788,56.9675,66.0884,65.7438
"Bra006710,Bra006711,Bra006712,Bra006713,Bra006714",37.3432,35.9901,30.2368,27.8827,29.7031,36.938,36.9028,31.2475,29.5167,36.5787,33.3179,35.0413,44.5787,48.345,39.2801,46.1296,34.9986,29.9356,47.8565,46.0257,37.4476,44.4207,32.805,37.2313,41.562,26.1302,30.0465,38.2315,21.0961,26.1484,36.0092,37.4317,29.1522,30.4522,30.9202,27.4284,30.628,44.8418,42.71,42.5304,30.9602,40.2679,43.6055,32.4383,32.3066,44.9391,30.2181,25.3621
"Bra006750",34.4343,30.6977,34.6545,32.9727,35.0571,41.1727,30.3552,30.5113,42.4063,36.7502,32.6883,37.1766,37.3861,31.087,32.6232,30.0144,42.2015,37.161,37.2486,35.0731,42.3436,36.4827,39.2118,34.6752,49.7151,43.8226,33.0029,50.6706,39.044,37.5022,34.7028,35.0871,39.6274,54.5431,40.195,47.4857,36.0713,41.9641,35.9676,35.3742,42.0704,40.6491,32.5807,39.5742,45.8467,45.6748,41.5555,36.0887
"Bra006778",147.381,156.816,186.232,164.676,235.96,304.35,191.213,187.465,128.667,144.912,120.491,98.5132,101.202,127.513,124.946,111.588,125.993,138.903,80.7891,105.699,101.219,131.49,80.3979,94.1798,229.809,208.252,202.304,273.473,224.911,291.352,193.775,257.319,163.763,177.592,141.134,130.916,141.324,177.482,174.544,179.16,163.618,197.585,125.145,162.381,119.493,164.256,110.932,230.872
"Bra006794",35.9005,38.9673,28.7326,24.0084,24.4338,26.4122,29.7244,26.935,52.7832,32.7965,47.3645,36.2522,35.2097,36.7985,27.1529,25.1637,20.9701,19.2279,25.5435,36.0367,52.9177,43.8764,39.5065,41.8323,49.6425,37.0927,33.966,25.0178,31.4311,22.8238,36.4191,43.1809,49.317,73.7956,51.2089,65.1625,49.2791,55.0561,41.4749,53.8594,25.5311,25.0494,39.9666,30.9374,60.2121,55.5097,50.3815,32.2911
"Bra007174",59.8234,61.881,55.3027,60.858,55.6906,66.2138,58.2464,57.2271,51.1999,46.9174,46.8496,42.4038,46.7925,57.4265,51.0488,48.4638,50.1019,53.6201,47.6638,50.6668,47.1262,47.5391,46.1588,48.725,91.4656,78.6728,65.5068,71.6571,58.3864,70.3431,60.5053,69.8736,49.7658,61.172,59.3409,69.0038,57.1303,68.6259,66.7159,65.8528,55.8274,63.1424,51.344,58.8249,46.2214,62.0456,52.5766,52.6365
"Bra007610",27.4724,23.5388,18.2364,20.3714,20.6955,18.6605,19.2311,18.9199,27.1282,25.5536,17.1153,17.6858,34.3926,31.3431,20.2442,21.8949,28.64,21.882,19.8682,18.4167,23.5727,22.2852,19.5571,19.1592,19.2004,15.1645,21.9194,11.747,17.2713,15.4717,14.3244,15.3004,26.326,22.9012,21.6046,11.1825,28.5811,24.1203,12.299,13.403,19.8004,18.9023,17.3535,14.2633,13.3316,18.0669,18.9451,17.1129
