"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"49",NA,"Bra020737",NA,NA,"Bra035446",NA,"Bra027196","Bra006538","Bra011696",NA,NA,"Bra025847",NA,NA,NA,NA,NA,"Bra031652,Bra031653,Bra031654",NA,NA,"Bra006233",NA,"Bra021851","Bra003396",NA,NA,NA,NA,NA,NA,"Bra011539",NA,NA,NA,NA,NA,"Bra018209",NA,NA,NA,NA,"Bra000952,Bra000953",NA,NA,"Bra030540"
"50",NA,"Bra009800",NA,NA,"Bra004094",NA,"Bra004853","Bra037787","Bra004645",NA,NA,"Bra005521",NA,NA,NA,NA,NA,"Bra034271",NA,NA,"Bra006200",NA,"Bra016590","Bra002856",NA,NA,NA,NA,NA,NA,"Bra005979",NA,NA,NA,NA,NA,"Bra036878",NA,NA,NA,NA,"Bra003147",NA,NA,"Bra029427"
"51",NA,"Bra007776,Bra007777",NA,NA,"Bra018864",NA,"Bra017317,Bra017318","Bra003928","Bra006194",NA,NA,"Bra001958,Bra001959",NA,NA,NA,NA,NA,"Bra018525",NA,NA,"Bra023413",NA,"Bra034501","Bra036467",NA,NA,NA,NA,NA,NA,"Bra002460",NA,NA,NA,NA,NA,"Bra032875",NA,NA,NA,NA,"Bra006413",NA,NA,"Bra010430"
"52",NA,"Bra014074",NA,NA,"Bra009295",NA,"Bra008470","Bra013582","Bra025853",NA,NA,"Bra016074",NA,NA,NA,NA,NA,"Bra001949",NA,NA,"Bra022751,Bra022752",NA,"Bra036247","Bra010644",NA,NA,NA,NA,NA,NA,"Bra016703",NA,NA,NA,NA,NA,"Bra034798,Bra034799",NA,NA,NA,NA,"Bra012040",NA,NA,"Bra037432"
"53",NA,"Bra034441",NA,NA,"Bra029826",NA,"Bra013565","Bra018030","Bra012088",NA,NA,"Bra028754",NA,NA,NA,NA,NA,"Bra013087",NA,NA,"Bra017386",NA,"Bra037962","Bra009184",NA,NA,NA,NA,NA,NA,"Bra018559",NA,NA,NA,NA,NA,"Bra015305",NA,NA,NA,NA,"Bra027163",NA,NA,"Bra013517"
"54",NA,"Bra020764",NA,NA,"Bra029165",NA,"Bra004168","Bra022597","Bra003778",NA,NA,"Bra033122",NA,NA,NA,NA,NA,"Bra038913,Bra038914",NA,NA,"Bra035050,Bra035051",NA,"Bra039653","Bra009043",NA,NA,NA,NA,NA,NA,"Bra008732",NA,NA,NA,NA,NA,"Bra009609,Bra009610",NA,NA,NA,NA,"Bra040427",NA,NA,"Bra037181,Bra037182"
"55",NA,"Bra010567",NA,NA,"Bra029099",NA,"Bra005141","Bra013218","Bra001457",NA,NA,"Bra004657",NA,NA,NA,NA,NA,"Bra032135,Bra032136",NA,NA,"Bra012595,Bra012596",NA,"Bra009010","Bra025764",NA,NA,NA,NA,NA,NA,"Bra037570,Bra037571",NA,NA,NA,NA,NA,"Bra024234",NA,NA,NA,NA,"Bra014663",NA,NA,"Bra014755"
"56",NA,"Bra002828",NA,NA,"Bra022108",NA,"Bra015315","Bra018531","Bra004155",NA,NA,"Bra023612",NA,NA,NA,NA,NA,"Bra026514",NA,NA,"Bra034088,Bra034089",NA,"Bra020186","Bra003398,Bra003399",NA,NA,NA,NA,NA,NA,"Bra006181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra015878",NA,NA,"Bra006182"
"57",NA,"Bra028401",NA,NA,"Bra035320",NA,"Bra034566,Bra034569","Bra008070","Bra015384",NA,NA,"Bra008785",NA,NA,NA,NA,NA,"Bra039710",NA,NA,"Bra018378",NA,"Bra032011","Bra018340",NA,NA,NA,NA,NA,NA,"Bra016075,Bra016076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra019170",NA,NA,"Bra032548"
"58",NA,"Bra030220",NA,NA,"Bra017081",NA,"Bra033859,Bra033860","Bra029140","Bra001988",NA,NA,"Bra005021",NA,NA,NA,NA,NA,"Bra005206",NA,NA,"Bra019508",NA,"Bra037896","Bra020184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra037364",NA,NA,"Bra014229"
"59",NA,"Bra000130",NA,NA,"Bra019154",NA,"Bra012683","Bra033389","Bra006275",NA,NA,"Bra032050",NA,NA,NA,NA,NA,"Bra014504",NA,NA,"Bra005387",NA,"Bra015464","Bra025681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra014131",NA,NA,"Bra035518,Bra035529"
"60",NA,"Bra005172",NA,NA,"Bra009055",NA,"Bra013761","Bra005476","Bra030166",NA,NA,"Bra016144",NA,NA,NA,NA,NA,"Bra016198,Bra016199",NA,NA,"Bra040756",NA,"Bra030962","Bra037955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra027274",NA,NA,"Bra013017,Bra013018"
"61",NA,"Bra036931",NA,NA,"Bra008801",NA,"Bra018329","Bra024062,Bra024063","Bra000660",NA,NA,"Bra037412",NA,NA,NA,NA,NA,"Bra004081",NA,NA,"Bra008509",NA,"Bra014042","Bra035608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra022734",NA,NA,"Bra028651"
"62",NA,"Bra005620,Bra005622,Bra005624",NA,NA,"Bra032742",NA,"Bra025905,tRNA-Asp","Bra033214,Bra033215,Bra033216","Bra010209",NA,NA,"Bra018876",NA,NA,NA,NA,NA,"Bra007614",NA,NA,"Bra000271",NA,"Bra008027","Bra025167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra010853",NA,NA,"Bra037309"
"63",NA,"Bra015317",NA,NA,"Bra007105",NA,"Bra006029","Bra012445","Bra033400",NA,NA,"Bra016572,Bra016573",NA,NA,NA,NA,NA,"Bra027573,Bra027574",NA,NA,"Bra037220",NA,"Bra011315","Bra001333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra039091",NA,NA,NA
"64",NA,NA,NA,NA,"Bra031360",NA,"Bra030306","Bra008840","Bra006374",NA,NA,"Bra034012",NA,NA,NA,NA,NA,"Bra018593",NA,NA,"Bra024144,Bra024145",NA,"Bra002816","Bra010474,Bra010475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra040448",NA,NA,NA
"65",NA,NA,NA,NA,"Bra030342,Bra030343",NA,"Bra016481,Bra016482","Bra003604","Bra001507",NA,NA,"Bra038670",NA,NA,NA,NA,NA,"Bra017604",NA,NA,"Bra036571",NA,"Bra002174,Bra002175","Bra014283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,"Bra022182",NA,"Bra011314","Bra037671","Bra025654",NA,NA,"Bra010941",NA,NA,NA,NA,NA,"Bra004247,Bra004248",NA,NA,"Bra011114",NA,"Bra012181","Bra000073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,"Bra009671",NA,"Bra017964","Bra011081","Bra016317",NA,NA,"Bra040447",NA,NA,NA,NA,NA,"Bra035937,Bra035938",NA,NA,"Bra004243",NA,"Bra007071","Bra023573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,"Bra026238",NA,"Bra012005","Bra009670","Bra010453",NA,NA,"Bra002745",NA,NA,NA,NA,NA,"Bra039085",NA,NA,"Bra006456",NA,"Bra037398","Bra008132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,"Bra023101",NA,"Bra031183,Bra031184","Bra002326","Bra013175",NA,NA,"Bra017685",NA,NA,NA,NA,NA,"Bra002354",NA,NA,"Bra039740",NA,"Bra034506","Bra035450,Bra035451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,"Bra039891",NA,"Bra035563","Bra028963","Bra007337",NA,NA,"Bra036145",NA,NA,NA,NA,NA,"Bra014853",NA,NA,"Bra018009,Bra018010",NA,"Bra009723","Bra011819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,"Bra034484",NA,"Bra003776","Bra004683","Bra032058",NA,NA,"Bra004546",NA,NA,NA,NA,NA,"Bra026097",NA,NA,"Bra017844",NA,"Bra023739","Bra017809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,"Bra019403",NA,"Bra019667","Bra039094","Bra028635",NA,NA,"Bra013805",NA,NA,NA,NA,NA,"Bra030054",NA,NA,"Bra001047",NA,NA,"Bra010549,Bra010550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,"Bra032315,Bra032316",NA,"Bra039835","Bra025364","Bra018943",NA,NA,"Bra031413",NA,NA,NA,NA,NA,"Bra039310",NA,NA,"Bra004977",NA,NA,"Bra030256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,"Bra037862",NA,"Bra002973,Bra002974","Bra002561","Bra009746",NA,NA,"Bra005727",NA,NA,NA,NA,NA,"Bra035864",NA,NA,"Bra011331",NA,NA,"Bra002975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,"Bra017031",NA,"Bra021041","Bra031785","Bra006441",NA,NA,"Bra029936",NA,NA,NA,NA,NA,"Bra019522",NA,NA,"Bra020905",NA,NA,"Bra013606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,"Bra040234",NA,"Bra025958","Bra009334","Bra009543",NA,NA,"Bra009570",NA,NA,NA,NA,NA,"Bra013593",NA,NA,"Bra039438",NA,NA,"Bra014308,Bra014309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,"Bra018900",NA,"Bra027127","Bra011824","Bra022230",NA,NA,"Bra028432",NA,NA,NA,NA,NA,"Bra006464",NA,NA,"Bra037363",NA,NA,"Bra027567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,"Bra025165",NA,"Bra016736","Bra011679","Bra005795",NA,NA,"Bra018461",NA,NA,NA,NA,NA,"Bra028679",NA,NA,"Bra020234",NA,NA,"Bra027972,Bra027973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,"Bra030996",NA,"Bra031869","Bra009724","Bra003862",NA,NA,"Bra039263",NA,NA,NA,NA,NA,"Bra034254",NA,NA,"Bra034488",NA,NA,"Bra022585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,"Bra000498",NA,"Bra006597","Bra021701","Bra011436",NA,NA,"Bra004746",NA,NA,NA,NA,NA,"Bra040045",NA,NA,"Bra018790",NA,NA,"Bra028192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,"Bra029969,Bra029970",NA,"Bra006272,Bra006329","Bra010965","Bra018969",NA,NA,"Bra018849",NA,NA,NA,NA,NA,"Bra024773",NA,NA,"Bra007792",NA,NA,"Bra007535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,"Bra010405",NA,"Bra033402","Bra029922","Bra007183",NA,NA,"Bra002516",NA,NA,NA,NA,NA,"Bra024864",NA,NA,"Bra031523",NA,NA,"Bra011923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,"Bra026191,Bra026192",NA,"Bra023492","Bra016808","Bra014975",NA,NA,"Bra015489,Bra015490",NA,NA,NA,NA,NA,"Bra001925",NA,NA,"Bra028193",NA,NA,"Bra002583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,"Bra016231,Bra016232",NA,"Bra026866,Bra026867","Bra011919","Bra006219",NA,NA,"Bra018307",NA,NA,NA,NA,NA,"Bra035092",NA,NA,"Bra038850",NA,NA,"Bra017077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,"Bra014522,tRNA-Asp",NA,"Bra017342","Bra011985","Bra014510",NA,NA,"Bra000505",NA,NA,NA,NA,NA,"Bra022901",NA,NA,"Bra010750",NA,NA,"Bra028735,Bra028736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,"Bra019196",NA,"Bra011232","Bra005258","Bra008559",NA,NA,"Bra000007",NA,NA,NA,NA,NA,"Bra013909,Bra013911",NA,NA,"Bra004482",NA,NA,"Bra012230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,"Bra039495",NA,"Bra009181","Bra011076","Bra009478",NA,NA,"Bra038686",NA,NA,NA,NA,NA,"Bra039238",NA,NA,"Bra003152",NA,NA,"Bra035956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,"Bra005630",NA,"Bra039114","Bra030858","Bra040524",NA,NA,"Bra000022",NA,NA,NA,NA,NA,NA,NA,NA,"Bra003298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,"Bra005889",NA,"Bra031146","Bra004708","Bra011461",NA,NA,"Bra019829",NA,NA,NA,NA,NA,NA,NA,NA,"Bra032981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,"Bra020763",NA,"Bra007657","Bra031810","Bra038063",NA,NA,"Bra035633",NA,NA,NA,NA,NA,NA,NA,NA,"Bra003769,Bra003770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,"Bra008663",NA,"Bra017499","Bra001151","Bra008555",NA,NA,"Bra028446",NA,NA,NA,NA,NA,NA,NA,NA,"Bra014862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,"Bra029292,Bra029293",NA,"Bra036763","Bra020124","Bra003727",NA,NA,"Bra009268",NA,NA,NA,NA,NA,NA,NA,NA,"Bra005002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,"Bra017469",NA,"Bra010018","Bra015692","Bra039698",NA,NA,"Bra008859",NA,NA,NA,NA,NA,NA,NA,NA,"Bra001463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,"Bra019893",NA,"Bra033451","Bra026135","Bra014658,Bra014659",NA,NA,"Bra030747",NA,NA,NA,NA,NA,NA,NA,NA,"Bra004761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,"Bra027252",NA,"Bra020666","Bra003608,Bra003609","Bra006345",NA,NA,"Bra007299",NA,NA,NA,NA,NA,NA,NA,NA,"Bra037844,tRNA-Met",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,"Bra011736",NA,"Bra025087,Bra025088","Bra014493","Bra036303",NA,NA,"Bra014476",NA,NA,NA,NA,NA,NA,NA,NA,"Bra008683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,"Bra018155,Bra018156",NA,NA,"Bra037091","Bra029564",NA,NA,"Bra011921",NA,NA,NA,NA,NA,NA,NA,NA,"Bra000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,"Bra038646","Bra001776",NA,NA,"Bra034914",NA,NA,NA,NA,NA,NA,NA,NA,"Bra024285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,"Bra009499,Bra009500","Bra015722",NA,NA,"Bra023254",NA,NA,NA,NA,NA,NA,NA,NA,"Bra038853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,"Bra023072","Bra022381",NA,NA,"Bra015089",NA,NA,NA,NA,NA,NA,NA,NA,"Bra004087,snoR74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,"Bra021937","Bra018615",NA,NA,"Bra025271",NA,NA,NA,NA,NA,NA,NA,NA,"Bra002071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,"Bra007343","Bra003348",NA,NA,"Bra020639",NA,NA,NA,NA,NA,NA,NA,NA,"Bra024421,Bra024422,Bra024423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,"Bra029859","Bra020523,Bra020538",NA,NA,"Bra016964",NA,NA,NA,NA,NA,NA,NA,NA,"Bra028566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,"Bra015061","Bra014969",NA,NA,"Bra005967",NA,NA,NA,NA,NA,NA,NA,NA,"Bra031541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,"Bra005175","Bra033344",NA,NA,"Bra001372",NA,NA,NA,NA,NA,NA,NA,NA,"Bra003653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,"Bra001374","Bra011386",NA,NA,"Bra038609",NA,NA,NA,NA,NA,NA,NA,NA,"Bra035580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,"Bra025173","Bra020784,Bra020785",NA,NA,"Bra033254",NA,NA,NA,NA,NA,NA,NA,NA,"Bra006340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,"Bra031272","Bra016201,Bra016202",NA,NA,"Bra006812",NA,NA,NA,NA,NA,NA,NA,NA,"Bra039975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,"Bra018264","Bra004004",NA,NA,"Bra017853",NA,NA,NA,NA,NA,NA,NA,NA,"Bra007713,Bra007714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,"Bra002106","Bra005917",NA,NA,"Bra015845",NA,NA,NA,NA,NA,NA,NA,NA,"Bra025858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,"Bra018610","Bra016071",NA,NA,"Bra033998",NA,NA,NA,NA,NA,NA,NA,NA,"Bra018324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,"Bra019492,Bra019493","Bra018970",NA,NA,"Bra003015",NA,NA,NA,NA,NA,NA,NA,NA,"Bra032952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,"Bra013558",NA,NA,NA,"Bra037405",NA,NA,NA,NA,NA,NA,NA,NA,"Bra036618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,"Bra037409",NA,NA,NA,"Bra029001",NA,NA,NA,NA,NA,NA,NA,NA,"Bra012446,Bra012447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,"Bra002258",NA,NA,NA,"Bra007919",NA,NA,NA,NA,NA,NA,NA,NA,"Bra011515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,"Bra032124",NA,NA,NA,"Bra030228",NA,NA,NA,NA,NA,NA,NA,NA,"Bra001406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,"Bra007220,Bra007221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra010296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA,"Bra017625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra026026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA,"Bra008462,Bra008463,Bra008464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra008824,Bra008825,Bra008826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA,"Bra035565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra012206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA,NA,NA,"Bra018196,Bra018197,Bra018198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra027386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA,NA,NA,"Bra018435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra030885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,"Bra023555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra028653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,"Bra011770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra030879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,"Bra014562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra033871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,"Bra016123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra035227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,"Bra017976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra040992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,"Bra002900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra039485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,"Bra034580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra039471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
