"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra000003",0.363025006634136,0.490318747307994,0.610675829528736,0.622129956977538,0.800617247026402,0.753252972116176,0.694014606810574,0.803120678795278,0.636803607200904,0.691027097916271,0.512645571033385,0.634818777042275,0.457554473133526,0.430544975730682,0.518519945979431,0.58390171447891,0.693057779011027,0.729718572763352,0.626444935492449,0.635239504794445,0.638109559850591,0.620806424760362,0.508426743808097,0.593710267504087,0.359982533381058,0.47698026334086,0.522488235127278,0.602083750754807,0.681741226373659,0.740796625375378,0.686246879012456,0.657301068940638,0.522642219617015,0.504839174482017,0.529999918897614,0.511299997713272,0.334683474381645,0.288078141226274,0.568918174051417,0.654622477826355,0.680246415564935,0.720426040408187,0.604832096802324,0.693838506574589,0.532671980780068,0.458747560279423,0.383053585047587,0.309560820599845
"Bra000007",0.101706902958538,0.133846802952795,-0.55940973431765,-0.566768096857222,-0.969911970953209,-0.927581684694712,-0.535714465207325,-0.275791571448718,-0.514984468161377,-0.492377723659057,-0.23644925896645,-0.0473539319079317,0.378795511073821,0.253455545546657,-0.778326330266988,-0.278739425282542,-0.39333728240834,-0.541702660557745,-0.169736423530596,-0.163558441029306,-0.272815951835028,-0.467896879726846,-0.00288150059339214,-0.492636355337977,-0.00224353299578634,0.124080383764847,-0.348718179646333,-0.608967137316517,-1.11554872557897,-0.444704953763213,-0.845479512272812,-0.764768864248971,-0.799732955931842,-2.20445822732718,-0.785134239619559,-0.587668903305003,0.00868516088389211,0.0378618382100816,-0.583958081108873,-0.182625285679285,-0.995099954867848,-1.15100641978004,-0.488615334680697,-0.441491018254065,-0.58765687658925,-1.08074647678661,-0.312626889586792,-0.230024754204568
"Bra000022",-0.984718977999047,-0.737554617048038,-1.0698972827819,-1.64320736014023,-2.33845994558007,-2.27510750385166,-1.70731372206969,-1.72632082741436,-1.11178394725081,-1.64055728274416,-1.09934597555826,-0.601079558780311,-0.302231121575868,-0.358732663641792,-2.31845634738162,-1.22840720603865,-2.34335172370992,-2.33064311963056,-2.39764764826637,-1.71518633829177,-2.31909572632168,-1.64949942502764,-0.843911873732413,-1.01761504240589,-0.606568176768796,-1.16265473423873,-1.52317814959107,-2.21897025392511,-2.34658359836234,-1.64930378005601,-1.38743331566189,-1.00919763707373,-1.62569006884027,-2.20445822732718,-0.858137786829605,-0.930748109532652,-0.377418205562929,-0.764532482385325,-1.57178391387513,-1.19971133983892,-2.36222196143598,-1.72428417399068,-1.25119397825209,-1.78821966410862,-2.33202697089044,-2.29700060160498,-2.30480998975755,-1.7592555119115
"Bra000024",0.653387874237561,0.68935443251551,0.638122352893571,0.607736543795645,0.64040044481587,0.598118298954109,0.700069179667869,0.757789594513148,0.584373824886249,0.682358804504699,0.531210044382803,0.617400529807578,0.386545653556495,0.578234995071856,0.450144383937449,0.627542162957224,0.57069592510228,0.62453829413812,0.656918538171807,0.734341424042259,0.392249955235713,0.511344430778031,0.436628579973669,0.427475653107443,0.610115576002894,0.614517370296122,0.611203431495415,0.658566518654725,0.638205204836449,0.624850871659172,0.716070859730517,0.893817007398807,0.531422616864054,0.712196449285445,0.563751300521394,0.676317597776353,0.571246077531162,0.599007017886506,0.535066290458922,0.636380229902778,0.627255730508325,0.772983138177311,0.673467170546643,0.793945511633438,0.572947501757533,0.611771444411273,0.560031145010967,0.594929625013584
"Bra000028",1.32404604838481,1.43615063277138,1.03170271911564,1.15542312035797,1.31536796554743,1.34683502455857,1.31799210181863,1.4191362542117,1.37782085597967,1.40021177260547,1.29339858919774,1.4126724028625,1.26029363898643,1.33524617021605,1.06372234619091,1.17117957567628,1.17590360327574,1.30177288735563,1.36319333093687,1.36477276923601,1.39303528053865,1.44095660095222,1.33798917116302,1.35558151183479,1.28861668438855,1.16659566403542,0.985579742763501,1.14181296411683,1.11306518293943,1.29399079324395,1.2951149618953,1.29109578634252,1.33522731980999,1.39195923556572,1.35712580034155,1.38461876644181,1.30927473593096,1.23890754931434,1.20833072355512,1.04180958562593,1.25208756022901,1.16676582295052,1.18068785872275,1.24913687876543,1.34654152265417,1.20841471650732,1.30490991035922,1.19713690817981
"Bra000038",0.349446682104767,0.347638849107555,-0.551031266634943,-0.620076104068839,-0.143016960540667,-0.175154999079754,0.17388028453195,0.0945040769874924,-0.304726351340334,-0.490576919508222,-0.498634896585696,-0.170435408241121,0.0401700837441454,0.146514008971334,-0.491708462663305,-0.334013569827553,-0.0900850750833443,0.210550371135035,0.452266984076745,0.361104266080193,-0.319250904701013,-0.451802937969238,-0.0482625767260436,-0.374839971897554,-0.211532989629725,0.0710007226776753,-0.759825299523244,-0.463485723061291,-0.341146486538406,-0.528601433157488,-0.067322987236378,-0.230083677346264,-0.315664649941948,-0.283850036236536,-0.373739367249029,-0.396702612572234,0.0487365155422459,-0.130199783729172,-0.469156533174774,-0.758035924478394,-0.291537876383273,-0.431360177280609,0.142412100254362,-0.0155403225184551,-0.529747032923217,-0.758026823476858,-0.238231812844141,-0.539629019723999
"Bra000044",-0.990316222319409,-1.15199829685201,-1.0240802389263,-0.852269897555378,-1.65497557696671,-1.73239743016257,-1.67354877598742,-1.72944637316513,-2.01612523128313,-2.14763643565198,-1.39262185279793,-1.32479146176856,-0.906295749540153,-0.875392362047496,-0.7556480250081,-0.812362637638379,-1.38945676601258,-1.26779220320445,-1.77153527045274,-1.51389869072291,-1.81933397927656,-1.77943471939957,-1.25906638205401,-1.299986284219,-1.0392869008523,-1.08846081632506,-0.871544717565315,-1.08234148877058,-1.49752185456916,-1.39954437081721,-1.55897341782308,-1.84517237313687,-1.8502085989138,-2.20445822732718,-1.63973204103434,-1.25406196959499,-0.891584337903395,-0.963232225059498,-0.759918093092181,-0.804887278947368,-1.47380317714219,-1.51712443222772,-1.37064756988682,-1.7281102290413,-1.9648331022838,-1.90880607731935,-1.67560254402928,-1.88455963001847
"Bra000054",-0.943293431202087,-1.62070051244521,-2.31446895463103,-1.1984128316616,-1.08908290244261,-2.27510750385166,-1.49206279405736,-0.792523397533904,-0.591860131646209,-0.792836175752861,-1.05461415127387,-0.861319819872333,-0.744944681878104,-0.963438943415514,-1.65379036348296,-1.57857770014809,-1.67971003717375,-1.08430272272352,-1.25890914371312,-1.10561311997696,-1.15254434609151,-0.797888609129734,-0.950031963700339,-1.09791740619017,-0.991371845972587,-2.2129161965524,-2.28915758683958,-2.21897025392511,-2.34658359836234,-2.27939242657779,-1.68872202426608,-2.32379258022287,-2.32473676562997,-2.20445822732718,-1.22340524961466,-1.12216912438423,-2.26485071229861,-2.22154140574255,-2.28639108920072,-2.1939296623919,-1.231110431151,-2.36909613229064,-2.41595932693837,-1.82049507800706,-1.45460851247859,-1.6611921671975,-1.67030811631372,-2.42521563080924
"Bra000063",-0.427378529903662,-0.119486824004985,-0.103578733596084,-0.26437128709727,-0.144523073783315,0.0906127700957498,-0.332469278130513,0.115098475111635,-0.197690098608703,-0.148966328123742,-0.774485858093055,-0.456218968600466,-0.309732960937756,-0.368824064962352,-0.00887751516626654,-0.0707497207106843,0.167054497611657,0.166065767951397,-0.599979742032417,-0.0391371627124033,-0.328280869971123,-0.524114716150489,-0.676967363933908,-0.518812384573211,-1.19196234779752,-0.7087903024904,-0.201142036309635,0.218957840180214,-0.29205881303403,0.220007281243817,-0.447673892986371,-0.2705279140614,-0.0768475286057096,-0.418009617802584,-0.35935868948664,-0.541845639491768,-1.03498010151945,-0.610865803408037,0.0882562847570828,-0.135783988309567,-0.0110625280697259,-0.288203807292512,-0.670143933030632,-0.631552654879442,-0.432192923694579,-1.07900313719984,-0.59164676010167,-1.09796414927021
"Bra000073",0.51077255530759,0.430336134235123,0.354843126426267,0.4151927775214,0.196925096882813,0.402426497957031,0.325365228654245,0.334713671569592,0.0973025830409676,0.0489696118554474,0.271872004774377,0.301310355378823,0.520649473169081,0.57140156685505,0.716537619919455,0.746592832841133,0.490497806527472,0.37566687536527,0.219271624135301,0.392718579135223,0.206061285560638,0.175835276344602,0.351453096515815,0.213574779167116,0.249690979320089,0.156405759473834,0.529894346626002,0.307159517205922,0.318820984381237,0.262607463364974,0.244621942692142,0.0478245113818881,-0.180705731650616,0.0954582131552225,0.245315847730684,0.0679358868686938,0.399521223568521,0.561905077258162,0.485281061658844,0.62886308489999,0.411816899133678,0.209781653311562,0.328917001127925,0.100041082373557,0.28315525939156,-0.199248539402941,0.312965392427028,0.0302153120248984
